samsho3h.neo	Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087)
samsho3.neo	Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087)
samsho4.neo	Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222)
samsho5b.neo	Samurai Shodown V _ Samurai Spirits Zero (bootleg) [Bootleg]
samsho5h.neo	Samurai Shodown V / Samurai Spirits Zero (NGH-2700)
samsho5.neo	Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 1)
samsho5a.neo	Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 2)
samsh5spho.neo	Samurai Shodown V Special _ Samurai Spirits Zero Special (NGH-2720) (1st release, censored)
samsh5sph.neo	Samurai Shodown V Special _ Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored)
samsh5sp.neo	Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720)
samsho2k.neo	Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II, set 1)
samsho2ka.neo	Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II, set 2)
savagereb.neo	Savage Reign / Fu'un Mokushiroku - Kakutou Sousei
sbp.neo	Super Bubble Pop (prototype)
sengokuh.neo	Sengoku / Sengoku Denshou (NGH-017, US)
sengoku.neo	Sengoku / Sengoku Denshou (NGM-017)(NGH-017)
sengoku.neo	Sengoku 2 / Sengoku Denshou 2
sengoku3.neo	Sengoku 3 / Sengoku Densho 2001 (set 1)
sengoku3a.neo	Sengoku 3 / Sengoku Densho 2001 (set 2)
shocktro.neo	Shock Troopers (set 1)
shocktroa.neo	Shock Troopers (set 2)
shocktr2.neo	Shock Troopers - 2nd Squad
moshougi.neo	Syougi No Tatsujin - Master of Syougi
svcboot.neo	SNK vs. Capcom - SVC Chaos (bootleg)
svc.neo	SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690)
svcplus.neo	SNK vs. Capcom - SVC Chaos Plus (bootleg set 1) [Bootleg]
svcplusa.neo	SNK vs. Capcom - SVC Chaos Plus (bootleg set 2) [Bootleg]
svcsplus.neo	SNK vs. Capcom - SVC Chaos Super Plus (bootleg)
socbrawlh.neo	Soccer Brawl (NGH-031)
socbrawl.neo	Soccer Brawl (NGM-031)
spinmast.neo	Spin Master / Miracle Adventure
stakwin.neo	Stakes Winner _ Stakes Winner - GI kinzen seiha e no michi
stakwin2.neo	Stakes Winner 2
strhoop.neo	Street Hoop _ Street Slam _ Dunk Dream (DEM-004) (DEH-004)
s1945p.neo	Strikers 1945 Plus
sdodgebh.neo	Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu
