batriderk.zip	Armed Police Batrider (Korea) (Fri Feb 13 1998)
batrideru.zip	Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)
batriderhk.zip	Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997)
batriderja.zip	Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997)
batridert.zip	Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997)
batriderj.zip	Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998)
armorcar.zip	Armored Car (set 1)
armorcar2.zip	Armored Car (set 2)
armwarar1.zip	Armored Warriors (940920 Asia)
armwaru1.zip	Armored Warriors (940920 USA)
armwar1d.zip	Armored Warriors (941011 Europe Phoenix Edition)
armwarr1.zip	Armored Warriors (941011 Europe)
armwara.zip	Armored Warriors (941024 Asia)
armwarb.zip	Armored Warriors (941024 Brazil)
armwar.zip	Armored Warriors (941024 Europe)
armwaru.zip	Armored Warriors (941024 USA)
aof.zip	Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)
aof2bh.zip	Art of Fighting 2 / Ryuuko no Ken 2 (Enable hidden characters V2)
aof2a.zip	Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)
aof2.zip	Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)
aof3k.zip	Art of Fighting 3 - The Path of the Warrior (Korean release)
aof3.zip	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
aof3bh.zip	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (Enable Hidden Characters V2)
ashnojoe.zip	Ashita no Joe (Japan)
ashuraj.zip	Ashura Blaster (Japan)
ashurau.zip	Ashura Blaster (US)
ashura.zip	Ashura Blaster (World)
assaultj.zip	Assault (Japan)
assault.zip	Assault (Rev B)
assaultp.zip	Assault Plus (Japan)
asterixaad.zip	Asterix (ver AAD)
asterixeaa.zip	Asterix (ver EAA)
asterixeac.zip	Asterix (ver EAC)
asterix.zip	Asterix (ver EAD)
asterixj.zip	Asterix (ver JAD)
asterock.zip	Asterock (Sidam bootleg of Asteroids)
asterockv.zip	Asterock (Videotron bootleg of Asteroids)
asteroidb1.zip	Asteroids (bootleg on Lunar Lander hardware, set 1)
asteroidb2.zip	Asteroids (bootleg on Lunar Lander hardware, set 2)
asteroid1.zip	Asteroids (rev 1)
asteroid2.zip	Asteroids (rev 2)
asteroid.zip	Asteroids (rev 4)
astdelux1.zip	Asteroids Deluxe (rev 1)
astdelux2.zip	Asteroids Deluxe (rev 2)
astdelux.zip	Asteroids Deluxe (rev 3)
astrians.zip	Astrians (clone of Swarm)
castfant.zip	Astro Fantasia (DECO Cassette) (US)
astrofl.zip	Astro Flash (Japan)
asukaja.zip	Asuka & Asuka (Japan)
asukaj.zip	Asuka & Asuka (Japan, version 1)
asuka.zip	Asuka & Asuka (World)
asurabld.zip	Asura Blade - Sword of Dynasty (Japan)
asurabusjr.zip	Asura Buster - Eternal Warriors (Japan) (ARCADIA review build)
asurabusj.zip	Asura Buster - Eternal Warriors (Japan, set 1)
asurabusja.zip	Asura Buster - Eternal Warriors (Japan, set 2)
asurabus.zip	Asura Buster - Eternal Warriors (USA)
ataqandr.zip	Ataque Androide - Moon Cresta (FAR S.A. Spanish bootleg)
asideral.zip	Ataque Sideral (Spanish bootleg of UniWar S)
athena.zip	Athena
athenab.zip	Athena (bootleg)
atehate.zip	Athena no Hatena ?
atlantol.zip	Atlant Olimpic
acitya.zip	Atlantic City Action
atombjt.zip	Atom (bootleg of Bombjack Twin)
atomboya.zip	Atomic Boy (revision A)
atomboy.zip	Atomic Boy (revision B)
atomicp.zip	Atomic Point (Korea)
atompunk.zip	Atomic Punk (US)
robokidj3.zip	Atomic Robo-kid (Japan)
robokidj.zip	Atomic Robo-kid (Japan, Type-2, set 1)
