005.zip	005
amatelas.zip	Sei Senshi Amatelass
amazon.zip	Soldier Girl Amazon
ambush.zip	Ambush
ambushj.zip	Ambush (Japan)
ambushv.zip	Ambush (Volt Electronics)
amclink.zip	Amcoe Link Control Box (Version 2.2)
amerdart.zip	AmeriDarts (set 1)
amerdart2.zip	AmeriDarts (set 2)
amerdart3.zip	AmeriDarts (set 3)
amidar.zip	Amidar
amidarb.zip	Amidar (bootleg)
amidaro.zip	Amidar (Olympia)
amidars.zip	Amidar (Scramble hardware)
amidaru.zip	Amidar (Stern Electronics)
amigo.zip	Amigo
ampkr228.zip	American Poker II (iamp2 v28)
ampkr2b1.zip	American Poker II (bootleg, set 1)
ampkr2b2.zip	American Poker II (bootleg, set 2)
ampkr2b3.zip	American Poker II (bootleg, set 3)
ampkr2b4.zip	American Poker II (bootleg, set 4)
ampkr95.zip	American Poker 95
ampoker2.zip	American Poker II
amspdwy.zip	American Speedway (set 1)
amspdwya.zip	American Speedway (set 2)
amuse.zip	Amuse (Version 50.08 IBA)
amuse1.zip	Amuse (Version 30.08 IBA)
androdun.zip	Andro Dunos
andromed.zip	Andromeda (Japan?)
angelkds.zip	Angel Kids (Japan)
anibonus.zip	Animal Bonus (Version 1.8E Dual)
anibonusb1.zip	Animal Bonus (Version 1.7R, set 1)
anibonusb2.zip	Animal Bonus (Version 1.7LT, set 1)
anibonusd1.zip	Animal Bonus (Version 1.7R, set 2)
anibonusd2.zip	Animal Bonus (Version 1.7LT, set 2)
anibonuso.zip	Animal Bonus (Version 1.5)
anibonuso2.zip	Animal Bonus (Version 1.4, set 1)
anibonuso3.zip	Animal Bonus (Version 1.4, set 2)
anibonusv1.zip	Animal Bonus (Version 1.8R Dual)
anibonusv2.zip	Animal Bonus (Version 1.8LT Dual)
anibonusxo.zip	Animal Bonus (Version 1.50XT)
anibonusxo2.zip	Animal Bonus (Version 1.40XT, set 1)
anibonusxo3.zip	Animal Bonus (Version 1.40XT, set 2)
animaljr.zip	Exciting Animal Land Jr. (USA)
animaljrj.zip	Waiwai Animal Land Jr. (Japan)
animaljrs.zip	Animalandia Jr. (Spanish)
anithunt.zip	Animal Treasure Hunt (Version 1.9R, set 1)
anithuntd1.zip	Animal Treasure Hunt (Version 1.9R, set 2)
anithunto.zip	Animal Treasure Hunt (Version 1.7)
anithunto2.zip	Animal Treasure Hunt (Version 1.5)
anithuntv1.zip	Animal Treasure Hunt (Version 1.9R Dual)
anteater.zip	Anteater
anteatg.zip	Ameisenbaer (German)
anteatgb.zip	The Anteater (UK)
aodk.zip	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku
aof.zip	Art of Fighting / Ryuuko no Ken
aof2.zip	Art of Fighting 2 / Ryuuko no Ken 2 (set 1)
aof2a.zip	Art of Fighting 2 / Ryuuko no Ken 2 (set 2)
aof3.zip	Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
aof3k.zip	Art of Fighting 3 - The Path of the Warrior (Korean release)
aoh.zip	Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)
apache3.zip	Apache 3
apache3a.zip	Apache 3 (Kana Corporation license)
apb.zip	APB - All Points Bulletin (rev 7)
apb1.zip	APB - All Points Bulletin (rev 1)
apb2.zip	APB - All Points Bulletin (rev 2)
apb3.zip	APB - All Points Bulletin (rev 3)
apb4.zip	APB - All Points Bulletin (rev 4)
apb5.zip	APB - All Points Bulletin (rev 5)
apb6.zip	APB - All Points Bulletin (rev 6)
apbf.zip	APB - All Points Bulletin (French)
apbg.zip	APB - All Points Bulletin (German)
aplatoon.zip	Platoon V.?.? US
aponow.zip	Apocaljpse Now
apparel.zip	Apparel Night (Japan 860929)
apple10.zip	Apple 10 (Ver 1.21)
appoooh.zip	Appoooh
aquajack.zip	Aqua Jack (World)
aquajackj.zip	Aqua Jack (Japan)
aquajet.zip	Aqua Jet (Rev. AJ2 Ver.B)
aquarium.zip	Aquarium (Japan)
aquarush.zip	Aqua Rush (Japan, AQ1/VER.A1)
ar_airh.zip	SportTime Table Hockey (Arcadia, set 1, V 2.1)
ar_airh2.zip	SportTime Table Hockey (Arcadia, set 2)
ar_bowl.zip	SportTime Bowling (Arcadia, V 2.1)
ar_dart.zip	World Darts (Arcadia, set 1, V 2.1)
ar_dart2.zip	World Darts (Arcadia, set 2)
ar_fast.zip	Magic Johnson's Fast Break (Arcadia, V 2.8)
ar_ldrb.zip	Leader Board (Arcadia, V 2.4?)
ar_ldrba.zip	Leader Board (Arcadia, V 2.5)
ar_ninj.zip	Ninja Mission (Arcadia, set 1, V 2.5)
ar_ninj2.zip	Ninja Mission (Arcadia, set 2)
ar_rdwr.zip	RoadWars (Arcadia, V 2.3)
ar_sdwr.zip	Sidewinder (Arcadia, set 1, V 2.1)
ar_sdwr2.zip	Sidewinder (Arcadia, set 2)
ar_socc.zip	World Trophy Soccer (Arcadia, V 3.0)
ar_spot.zip	Spot (Arcadia)
ar_sprg.zip	Space Ranger (Arcadia, V 2.0)
ar_xeon.zip	Xenon (Arcadia, V 2.3)
arabfgt.zip	Arabian Fight (World)
arabfgtj.zip	Arabian Fight (Japan)
arabfgtu.zip	Arabian Fight (US)
arabian.zip	Arabian
arabiana.zip	Arabian (Atari)
arabianm.zip	Arabian Magic (Ver 1.0O 1992/07/06)
arabianmj.zip	Arabian Magic (Ver 1.0J 1992/07/06)
arabianmu.zip	Arabian Magic (Ver 1.0A 1992/07/06)
aracnis.zip	Aracnis (bootleg of Scorpion on Moon Cresta hardware)
arbalest.zip	Arbalester
arcadecl.zip	Arcade Classics (prototype)
arcadia.zip	Waga Seishun no Arcadia
archrivl.zip	Arch Rivals (rev 4.0)
archrivl2.zip	Arch Rivals (rev 2.0)
area51.zip	Area 51 (R3000)
area51a.zip	Area 51 (Atari Games license)
area51mx.zip	Area 51 / Maximum Force Duo v2.0
area51t.zip	Area 51 (Time Warner license)
area88.zip	Area 88 (Japan)
arescue.zip	Air Rescue
argus.zip	Argus
argusg.zip	Argus (Gottlieb, prototype)
arian.zip	Arian Mission
ark1ball.zip	Arkanoid (bootleg with MCU, harder)
arkangc.zip	Arkanoid (Game Corporation bootleg, set 1)
arkangc2.zip	Arkanoid (Game Corporation bootleg, set 2)
arkanoid.zip	Arkanoid (World)
arkanoidj.zip	Arkanoid (Japan)
arkanoidu.zip	Arkanoid (US)
arkanoiduo.zip	Arkanoid (US, older)
arkarea.zip	Ark Area
arkatayt.zip	Arkanoid (Tayto bootleg)
arkatour.zip	Tournament Arkanoid (US)
arkbloc2.zip	Block (Game Corporation bootleg, set 2)
arkbloc3.zip	Block (Game Corporation bootleg, set 3)
arkblock.zip	Block (Game Corporation bootleg, set 1)
arkgcbl.zip	Arkanoid (bootleg on Block hardware, set 1)
arkgcbla.zip	Arkanoid (bootleg on Block hardware, set 2)
arkmcubl.zip	Arkanoid (bootleg with MCU)
arknoid2.zip	Arkanoid - Revenge of DOH (World)
arknoid2j.zip	Arkanoid - Revenge of DOH (Japan)
arknoid2u.zip	Arkanoid - Revenge of DOH (US)
arkretrn.zip	Arkanoid Returns (Ver 2.02J 1997/02/10)
arktayt2.zip	Arkanoid (Tayto bootleg, harder)
arlingtn.zip	Arlington Horse Racing (v1.21-D)
armchmp2.zip	Arm Champs II v2.6
armchmp2o.zip	Arm Champs II v1.7
armedf.zip	Armed Formation
armedff.zip	Armed Formation (Fillmore license)
armora.zip	Armor Attack
armorap.zip	Armor Attack (prototype)
armorar.zip	Armor Attack (Rock-Ola)
armorcar.zip	Armored Car (set 1)
armorcar2.zip	Armored Car (set 2)
armwar.zip	Armored Warriors (Euro 941024)
armwar1d.zip	Armored Warriors (Euro 941011 Phoenix Edition) (bootleg)
armwara.zip	Armored Warriors (Asia 940920)
armwarr1.zip	Armored Warriors (Euro 941011)
armwaru.zip	Armored Warriors (USA 941024)
armwaru1.zip	Armored Warriors (USA 940920)
armwrest.zip	Arm Wrestling
ashnojoe.zip	Ashita no Joe (Japan)
ashura.zip	Ashura Blaster (World)
ashuraj.zip	Ashura Blaster (Japan)
ashurau.zip	Ashura Blaster (US)
aso.zip	ASO - Armored Scrum Object
asoccer.zip	American Soccer
assault.zip	Assault
assaultj.zip	Assault (Japan)
assaultp.zip	Assault Plus (Japan)
astdelux.zip	Asteroids Deluxe (rev 3)
astdelux1.zip	Asteroids Deluxe (rev 1)
astdelux2.zip	Asteroids Deluxe (rev 2)
asterix.zip	Asterix (ver EAD)
asterixaad.zip	Asterix (ver AAD)
asterixeaa.zip	Asterix (ver EAA)
asterixeac.zip	Asterix (ver EAC)
asterixj.zip	Asterix (ver JAD)
asterock.zip	Asterock
asteroid.zip	Asteroids (rev 4)
asteroid1.zip	Asteroids (rev 1)
asteroid2.zip	Asteroids (rev 2)
asteroidb.zip	Asteroids (bootleg on Lunar Lander hardware)
astinvad.zip	Astro Invader
astorm.zip	Alien Storm (World, 2 Players, FD1094 317-0154)
astorm3.zip	Alien Storm (World, 3 Players, FD1094 317-0148)
astormb2.zip	Alien Storm (bootleg, set 2)
astormbl.zip	Alien Storm (bootleg, set 1)
astormj.zip	Alien Storm (Japan, 2 Players, FD1094 317-0146)
astormu.zip	Alien Storm (US, 3 Players, FD1094 317-0147)
astrass.zip	Astra SuperStars (J 980514 V1.002)
astrob.zip	Astro Blaster (version 3)
astrob1.zip	Astro Blaster (version 1)
astrob2.zip	Astro Blaster (version 2)
astrob2a.zip	Astro Blaster (version 2a)
astrobg.zip	Astro Blaster (German)
astrof.zip	Astro Fighter (set 1)
astrof2.zip	Astro Fighter (set 2)
astrof3.zip	Astro Fighter (set 3)
astrofl.zip	Astro Flash (Japan)
astron.zip	Astron Belt
astronp.zip	Astron Belt (Pioneer LDV1000)
astropal.zip	Astropal
astrowar.zip	Astro Wars
astyanax.zip	The Astyanax
asuka.zip	Asuka _ Asuka (World)
asukaj.zip	Asuka _ Asuka (Japan)
asurabld.zip	Asura Blade - Sword of Dynasty (Japan)
asurabus.zip	Asura Buster - Eternal Warriors (Japan)
asylum.zip	Asylum (prototype)
atamanot.zip	Computer Quiz Atama no Taisou (Japan)
atarifb.zip	Atari Football (revision 2)
atarifb1.zip	Atari Football (revision 1)
atarifb4.zip	Atari Football (4 players)
ataxx.zip	Ataxx (set 1)
ataxxa.zip	Ataxx (set 2)
ataxxj.zip	Ataxx (Japan)
atehate.zip	Athena no Hatena ?
atetris.zip	Tetris (set 1)
atetrisa.zip	Tetris (set 2)
atetrisb.zip	Tetris (bootleg set 1)
atetrisb2.zip	Tetris (bootleg set 2)
atetrisc.zip	Tetris (cocktail set 1)
atetrisc2.zip	Tetris (cocktail set 2)
athena.zip	Athena
atlantis.zip	Battle of Atlantis (set 1)
atlantis2.zip	Battle of Atlantis (set 2)
atlantisb.zip	Battle of Atlantis (bootleg)
atlantol.zip	Atlant Olimpic
atomboy.zip	Atomic Boy (revision B)
atomboya.zip	Atomic Boy (revision A)
atomicp.zip	Atomic Point (Korea)
atompunk.zip	Atomic Punk (US)
attckufo.zip	Attack Ufo
atworld.zip	Around The World (Version 1.3E CGA)
atworldd1.zip	Around The World (Version 1.3R CGA)
aurail.zip	Aurail (set 3, US, unprotected)
aurail1.zip	Aurail (set 2, World, FD1089B 317-0168)
aurailj.zip	Aurail (set 1, Japan, FD1089A 317-0167)
autmoon.zip	Autumn Moon
automat.zip	Automat (bootleg of Robocop)
av2mj1bb.zip	AV2Mahjong No.1 Bay Bridge no Seijo (Japan)
av2mj2rg.zip	AV2Mahjong No.2 Rouge no Kaori (Japan)
avalnche.zip	Avalanche
avalon13.zip	The Key Of Avalon 1.3 - Chaotic Sabbat - Client (GDT-0010C) (V4.000)
avalon20.zip	The Key Of Avalon 2.0 - Eutaxy and Commandment - Client (GDT-0017B) (V3.001)
avalons.zip	The Key Of Avalon - The Wizard Master - Server (GDT-0005C) (V4.001)
avengers.zip	Avengers (US set 1)
avengers2.zip	Avengers (US set 2)
avengrgs.zip	Avengers In Galactic Storm (US)
avengrgsj.zip	Avengers In Galactic Storm (Japan)
avsp.zip	Alien vs. Predator (Euro 940520)
avspa.zip	Alien vs. Predator (Asia 940520)
avspd.zip	Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)
avsph.zip	Alien vs. Predator (Hispanic 940520)
avspirit.zip	Avenging Spirit
avspj.zip	Alien vs. Predator (Japan 940520)
avspu.zip	Alien vs. Predator (USA 940520)
aztarac.zip	Aztarac
azumanga.zip	Azumanga Daioh Puzzle Bobble (GDL-0018)
azurian.zip	Azurian Attack
babydad.zip	Baby Dado
babypkr.zip	Baby Poker
backfire.zip	Backfire! (set 1)
backfirea.zip	Backfire! (set 2)
backfirt.zip	Back Fire (Tecmo, bootleg)
backgamn.zip	Backgammon
baddudes.zip	Bad Dudes vs. Dragonninja (US)
badlands.zip	Bad Lands
badlandsb.zip	Bad Lands (bootleg)
bagman.zip	Bagman
bagmanf.zip	Bagman (bootleg on Crazy Kong hardware)
bagmanmc.zip	Bagman (bootleg on Moon Cresta hardware)
bagmans.zip	Bagman (Stern Electronics, set 1)
bagmans2.zip	Bagman (Stern Electronics, set 2)
bagnard.zip	Le Bagnard (set 1)
bagnarda.zip	Le Bagnard (set 2)
bakatono.zip	Bakatonosama Mahjong Manyuuki
