005.zip	005
dbldynu.zip	The Double Dynamites (US)
dblpointd.zip	Double Point (Dong Bang Electron, bootleg?)
dbreedm72.zip	Dragon Breed (M72 PCB version)
dbz.zip	Dragonball Z (rev B)
dcrown.zip	Dream Crown (Set 1)
dcrowna.zip	Dream Crown (Set 2)
ddaydoo.zip	Chulgyeok D-Day (Korea)
ddcrewj.zip	D. D. Crew (Japan, 4 Players, FD1094 317-0185)
ddp2.zip	DoDonPachi II - Bee Storm (World, ver. 102)
ddp2100.zip	DoDonPachi II - Bee Storm (World, ver. 100)
ddp2100c.zip	DoDonPachi II - Bee Storm (China, ver. 100)
ddp2100hk.zip	DoDonPachi II - Bee Storm (Hong Kong, ver. 100)
ddp2100j.zip	DoDonPachi II - Bee Storm (Japan, ver. 100)
ddp2100k.zip	DoDonPachi II - Bee Storm (Korea, ver. 100)
ddp2100t.zip	DoDonPachi II - Bee Storm (Taiwan, ver. 100)
ddp2101.zip	DoDonPachi II - Bee Storm (World, ver. 101)
ddp2101c.zip	DoDonPachi II - Bee Storm (China, ver. 101)
ddp2101hk.zip	DoDonPachi II - Bee Storm (Hong Kong, ver. 101)
ddp2101j.zip	DoDonPachi II - Bee Storm (Japan, ver. 101)
ddp2101k.zip	DoDonPachi II - Bee Storm (Korea, ver. 101)
ddp2101t.zip	DoDonPachi II - Bee Storm (Taiwan, ver. 101)
ddp2c.zip	DoDonPachi II - Bee Storm (China, ver. 102)
ddp2hk.zip	DoDonPachi II - Bee Storm (Hong Kong, ver. 102)
ddp2j.zip	DoDonPachi II - Bee Storm (Japan, ver. 102)
ddp2k.zip	DoDonPachi II - Bee Storm (Korea, ver. 102)
ddp2t.zip	DoDonPachi II - Bee Storm (Taiwan, ver. 102)
ddpdfk.zip	DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23  MASTER VER 1.5)
ddpdfk10.zip	DoDonPachi Dai-Fukkatsu Ver 1.0 (2008/05/16  MASTER VER)
ddpdoj.zip	DoDonPachi Dai-Ou-Jou V101 (2002.04.05.Master Ver)
ddpdoja.zip	DoDonPachi Dai-Ou-Jou V100 (2002.04.05.Master Ver)
ddpdojb.zip	DoDonPachi Dai-Ou-Jou (2002.04.05 Master Ver)
ddpdojblk.zip	DoDonPachi Dai-Ou-Jou (2002.10.07.Black Ver)
ddpdojblka.zip	DoDonPachi Dai-Ou-Jou (2002.10.07 Black Ver)
ddpdojh.zip	Dodonpachi Daioujou Tamashii (V201, China)
ddr2ml.zip	Dance Dance Revolution 2nd Mix - Link Ver (GE885 VER. JAB)
ddr3mj.zip	Dance Dance Revolution 3rd Mix (GN887 VER. JAA)
ddr4mj.zip	Dance Dance Revolution 4th Mix (G*A33 VER. JAA)
ddr4msj.zip	Dance Dance Revolution 4th Mix Solo (G*A33 VER. JBA)
ddragon.zip	Double Dragon (Japan)
ddragon3b.zip	Double Dragon 3 - The Rosetta Stone (bootleg)
ddragon3j.zip	Double Dragon 3 - The Rosetta Stone (Japan)
ddragon3p.zip	Double Dragon 3 - The Rosetta Stone (prototype)
ddragon6809.zip	Double Dragon (bootleg with 3xM6809, set 1)
ddragonb2.zip	Double Dragon (bootleg)
ddragonba.zip	Double Dragon (bootleg with M6803)
ddragonu.zip	Double Dragon (US set 1)
ddragonua.zip	Double Dragon (US set 2)
ddragonub.zip	Double Dragon (US set 3)
ddragonw.zip	Double Dragon (World set 1)
ddragonw1.zip	Double Dragon (World set 2)
ddream95.zip	Dunk Dream '95 (Japan 1.4, EAM)
ddribblep.zip	Double Dribble (prototype?)
ddrs2kj.zip	Dance Dance Revolution Solo 2000 (GC905 VER. JAA)
ddsomar1.zip	Dungeons _ Dragons: Shadow over Mystara (Asia 960208)
ddtoda.zip	Dungeons _ Dragons: Tower of Doom (Asia 940412)
ddungeon.zip	Dangerous Dungeons (set 1)
ddungeone.zip	Dangerous Dungeons (set 2)
dduxbl.zip	Dynamite Dux (Datsu bootleg)
dduxj.zip	Dynamite Dux (set 2, Japan, FD1094 317-0094)
deathrac.zip	Death Race [TTL]
deathsm2.zip	Deathsmiles II: Makai no Merry Christmas (2009/10/14 MASTER VER 4.00)
deathsml.zip	Deathsmiles (2007/10/09 MASTER VER)
deerhuntc.zip	Deer Hunting USA V3
deerhunte.zip	Deer Hunting USA V1
defenderb.zip	Defender (Blue label)
defenderg.zip	Defender (Green label)
defenderw.zip	Defender (White label)
defense.zip	Defense (System 16B, FD1089A 317-0028)
deluxe5.zip	Deluxe 5 (ver. 0107, 07/01/2000, set 1)
deluxe5a.zip	Deluxe 5 (ver. 0107, 07/01/2000, set 2)
deluxe5b.zip	Deluxe 5 (ver. 0107, 07/01/2000, set 3)
demoderb.zip	Demolition Derby
demoderbc.zip	Demolition Derby (cocktail)
demoderm.zip	Demolition Derby (MCR-3 Mono Board Version)
demofist.zip	Demolish Fist
dendego.zip	Densha de GO! (Ver 2.2 J)
dendego2.zip	Densha de GO! 2 Kousoku-hen (Ver 2.5 J)
dendego23k.zip	Densha de GO! 2 Kousoku-hen 3000-bandai (Ver 2.20 J)
dendegox.zip	Densha de GO! EX (Ver 2.4 J)
derbyo2k.zip	Derby Owners Club 2000 (Rev A)
derbyoc.zip	Derby Owners Club (JPN, USA, EXP, KOR, AUS) (Rev B)
derbyoc2.zip	Derby Owners Club II (JPN, USA, EXP, KOR, AUS) (Rev B)
derbyocw.zip	Derby Owners Club World Edition (JPN, USA, EXP, KOR, AUS) (Rev D)
desertdn.zip	Desert Dan
destdrby.zip	Destruction Derby [TTL]
destiny.zip	Destiny - The Fortuneteller (USA)
destroyr.zip	Destroyer (version O2)
destroyr1.zip	Destroyer (version O1)
deucesw2.zip	Deuces Wild 2 - American Heritage (Ver. 2.02F)
devilfsg.zip	Devil Fish (Galaxian hardware, bootleg?)
devstors3.zip	Devastators (ver. V)
dfruit.zip	Fruit Dream (Japan)
dharma.zip	Dharma Doujou
dharmaj.zip	Dharma Doujou (Japan)
dietgo.zip	Diet Go Go (Euro v1.1 1992.09.26)
dietgoe.zip	Diet Go Go (Euro v1.1 1992.08.04)
dietgoj.zip	Diet Go Go (Japan v1.1 1992.09.26)
dietgou.zip	Diet Go Go (USA v1.1 1992.09.26)
digdug.zip	Dig Dug (rev 2)
digdug1.zip	Dig Dug (rev 1)
digdugat.zip	Dig Dug (Atari, rev 2)
digdugat1.zip	Dig Dug (Atari, rev 1)
diggerma.zip	Digger Man (prototype)
digsid.zip	Dig Dug (manufactured by Sidam)
dino.zip	Cadillacs and Dinosaurs (World 930201)
dinoj.zip	Cadillacs: Kyouryuu Shin Seiki (Japan 930201)
dinou.zip	Cadillacs and Dinosaurs (USA 930201)
dirtypig.zip	Dirty Pigskin Football
discoboyp.zip	Disco Boy (Promat license?)
discof.zip	Disco No.1 (Rev.F)
ditrio.zip	Diamond Trio (set 1)
dking.zip	Donkey King
dkingjr.zip	Donkey King Jr. (bootleg of Donkey Kong Jr.)
dkong3abl.zip	Donkey Kong 3 (bootleg with 2xAY8910)
dkong3b.zip	Donkey Kong 3 (bootleg on Donkey Kong Jr. hardware)
dkonghrd.zip	Donkey Kong (hard kit)
dkongjnrj.zip	Donkey Kong Junior (Japan?)
dkongjr.zip	Donkey Kong Junior (US set F-2)
dkongjrb.zip	Donkey Kong Jr. (bootleg)
dkongjre.zip	Donkey Kong Junior (E kit)
dkongjrj.zip	Donkey Kong Jr. (Japan)
dkongjrpb.zip	Donkey Kong Junior (P kit, bootleg)
dkongx.zip	Donkey Kong II: Jumpman Returns (hack, V1.2)
dkongx11.zip	Donkey Kong II: Jumpman Returns (hack, V1.1)
dlair.zip	Dragon's Lair (US Rev. F2)
dlair2.zip	Dragon's Lair 2: Time Warp (US v3.19)
dlair2_200.zip	Dragon's Lair 2: Time Warp (US v2.00, AMOA prototype)
dlair2_211.zip	Dragon's Lair 2: Time Warp (US v2.11)
dlair2_300.zip	Dragon's Lair 2: Time Warp (US v3.00)
dlair2_312.zip	Dragon's Lair 2: Time Warp (Euro v3.12)
dlair2_314.zip	Dragon's Lair 2: Time Warp (US v3.14)
dlair2_315.zip	Dragon's Lair 2: Time Warp (US v3.15)
dlair2_315s.zip	Dragon's Lair 2: Time Warp (Spanish v3.15)
dlair2_316e.zip	Dragon's Lair 2: Time Warp (Euro v3.16)
dlair2_317e.zip	Dragon's Lair 2: Time Warp (Euro v3.17)
dlair2_318.zip	Dragon's Lair 2: Time Warp (US v3.18)
dlair2_319e.zip	Dragon's Lair 2: Time Warp (Euro v3.19)
dlair2_319s.zip	Dragon's Lair 2: Time Warp (Spanish v3.19)
dlairf.zip	Dragon's Lair (US Rev. F)
dland.zip	Dream Land / Super Dream Land (bootleg of Bubble Bobble)
dleague.zip	Dynamite League (US)
dleuroalt.zip	Dragon's Lair (European, alternate)
dmdtouch.zip	Diamond Touch (0400433V, Local)
dmnfrnt.zip	Demon Front (68k label V105, ROM M105XX 08/05/02) (ARM label V105, ROM 08/05/02 S105XX)
dmnfrntb.zip	Demon Front (68k label V103, ROM M103XX 07/05/02) (ARM label V103, ROM 07/05/02 S103XX)
dmnfrntpcb.zip	Demon Front (68k label V107KR, ROM M107KR 11/03/03) (ARM label V106KR, ROM 10/16/03 S106KR) (JAMMA PCB)
dmx.zip	Dance Maniax (G*874 VER. JAA)
dncsprt.zip	Dancing Spirit (Russia) (Atronic)
doa2.zip	Dead or Alive 2 (JPN, USA, EXP, KOR, AUS)
doa2m.zip	Dead or Alive 2 Millennium (JPN, USA, EXP, KOR, AUS)
dodgecty.zip	Dodge City (9131-02)
dodgectya.zip	Dodge City (2131-82, U5-0D)
dodgectyb.zip	Dodge City (2131-82, U5-50)
dodgectyc.zip	Dodge City (2131-82, U5-0 GT)
dogfgt.zip	Acrobatic Dog-Fight
dogfgtu.zip	Acrobatic Dog-Fight (USA)
dogosokb.zip	Dogou Souken (Joystick hack bootleg)
dogosoke.zip	Dogou Souken
dogyuunt.zip	Dogyuun (location test)
dolmen.zip	Dolmen
dolphin.zip	Dolphin Blue
dolphinp.zip	Dolphin's Pearl (set 1)
domino.zip	Domino Man
dominos4.zip	Dominos 4 (Cocktail)
donghaer.zip	Donggul Donggul Haerong
donpachi.zip	DonPachi (US)
donpachihk.zip	DonPachi (Hong Kong)
donpachij.zip	DonPachi (Japan)
donpachikr.zip	DonPachi (Korea)
doraemon.zip	Doraemon no Eawase Montage (prototype)
dotron.zip	Discs of Tron (Upright)
dotrona.zip	Discs of Tron (Upright alternate)
dotrone.zip	Discs of Tron (Environmental)
doubledr.zip	Double Dragon (Neo-Geo)
downtown.zip	DownTown / Mokugeki (set 1)
downtown2.zip	DownTown / Mokugeki (set 2)
downtownj.zip	DownTown / Mokugeki (joystick hack)
downtownp.zip	DownTown / Mokugeki (prototype)
dpatrol.zip	Desert Patrol [TTL]
dpoker.zip	Draw Poker (Bally, 03-20)
dragnfly.zip	Dragonfly (Konami Endeavour)
dragngunj.zip	Dragon Gun (Japan)
dragrace.zip	Drag Race
dragsphr.zip	Dragon Sphere
dreambal.zip	Dream Ball (Japan V2.4)
drgnbowla.zip	Dragon Bowl (set 2, unencrypted program)
drgninja.zip	Dragonninja (Japan)
drgninjab.zip	Dragonninja (bootleg)
drgnwrldv21.zip	Dragon World (World, V021O)
drgw2hk.zip	Dragon World II (ver. 100H, Hong Kong [Hokg Kong])
drhla.zip	Drews Revenge (v.2.89, set 2)
driblingbr.zip	Dribbling (bootleg, Brazil)
drifto94.zip	Drift Out '94 - The Hard Order (Japan)
driftout.zip	Drift Out (Europe)
drivfrct.zip	Top Racer (bootleg of Driving Force)
drmmake.zip	Dream Maker (Russia) (Atronic)
drmn10m.zip	DrumMania 10th Mix (G*D40 VER. JAA)
drmn3m.zip	DrumMania 3rd Mix (G*A23 VER. JAA)
drmn4m.zip	DrumMania 4th Mix (G*A25 VER. JAA)
drmn5m.zip	DrumMania 5th Mix (G*B05 VER. JAA)
drmn6m.zip	DrumMania 6th Mix (G*B16 VER. JAA)
drmn7m.zip	DrumMania 7th Mix power-up ver. (G*C07 VER. JBA)
drmn7ma.zip	DrumMania 7th Mix (G*C07 VER. JAA)
drmn8m.zip	DrumMania 8th Mix (G*C07 VER. JAA)
drmn9m.zip	DrumMania 9th Mix (G*D09 VER. JAA)
dsfdcta.zip	Dancing Stage featuring Dreams Come True (GC910 VER. JAA)
dslayrr.zip	Dragon Slayer (Russia, set 1)
dslayrra.zip	Dragon Slayer (Russia, set 2)
dsmbl.zip	Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER)
dsoccr94.zip	Dream Soccer '94 (World, M107 hardware)
dsoccr94j.zip	Dream Soccer '94 (Japan, M92 hardware)
dspirit2.zip	Dragon Spirit (DS2)
dstage.zip	Dancing Stage - Internet Ranking Ver (GC845 VER. EBA)
dtfamily.zip	Diet Family
dtoyoken.zip	Mahjong Dai Touyouken (Japan)
dtrvwz5.zip	Deluxe Trivia ? Whiz (6221-70, U5-0A Edition 5)
dualgame.zip	Dual Games (prototype)
duckhunt.zip	Vs. Duck Hunt (set DH3 E)
dunkmnia.zip	Dunk Mania (Asia, DM2/VER.C)
dunkmniajc.zip	Dunk Mania (Japan, DM1/VER.C)
dunkshot.zip	Dunk Shot (Rev C, FD1089A 317-0022)
dunkshoto.zip	Dunk Shot (FD1089A 317-0022)
dvisland.zip	Devil Island (Version 1.4R CGA)
dvislando.zip	Devil Island (Version 1.0R CGA)
dw2001.zip	Dragon World 2001 (V100?, Japan)
dw2v100x.zip	Dragon World II (ver. 100X, Export)
dwarfda.zip	Draw Poker III / Dwarfs Den (Card Gfx)
dwpc.zip	Dragon World Pretty Chance (V101, Japan)
dybb99.zip	Dynamite Baseball '99 (JPN) / World Series '99 (USA, EXP, KOR, AUS) (Rev B)
dybbnao.zip	Dynamite Baseball NAOMI (JPN)
dynabb.zip	Dynamite Baseball
dynabb97.zip	Dynamite Baseball 97 (Revision A)
dynablstb2.zip	Dynablaster / Bomber Man (bootleg, alt)
dynamcopb.zip	Dynamite Cop (Export, Model 2B)
dynamcopc.zip	Dynamite Cop (USA, Model 2C)
dyndeka2.zip	Dynamite Deka 2 (Japan, Model 2A)
dyndeka2b.zip	Dynamite Deka 2 (Japan, Model 2B)
dynduke.zip	Dynamite Duke (Europe set 1)
dyndukea.zip	Dynamite Duke (Europe set 2)
dyndukeu.zip	Dynamite Duke (US)
dynwara.zip	Dynasty Wars (USA, B-Board 88622B-3)
dynwarj.zip	Tenchi wo Kurau (Japan)
dynwarjr.zip	Tenchi wo Kurau (Japan Resale Ver.)
dzigzag.zip	Zig Zag (Dig Dug hardware)
eagle.zip	Eagle (set 1)
eagle2.zip	Eagle (set 2)
eagle3.zip	Eagle (set 3)
earthjkr.zip	U.N. Defense Force: Earth Joker (Japan)
earthjkrp.zip	U.N. Defense Force: Earth Joker (Japan, prototype?)
eca.zip	Emergency Call Ambulance (Export)
ecap.zip	Emergency Call Ambulance (US location test?)
ecau.zip	Emergency Call Ambulance (USA)
ecofghtrd.zip	Eco Fighters (World 931203 Phoenix Edition) (bootleg)
edfbl.zip	E.D.F. : Earth Defense Force (bootleg)
eforest.zip	Enchanted Forest (12XF528902, US)
eforesta.zip	Enchanted Forest (4VXFC818, NSW)
eforestb.zip	Enchanted Forest (3VXFC5343, New Zealand)
eggsplc.zip	Eggs Playing Chicken
eggventr.zip	Egg Venture (Release 10)
eggventr2.zip	Egg Venture (Release 2)
eggventr7.zip	Egg Venture (Release 7)
eggventr8.zip	Egg Venture (Release 8)
eggventra.zip	Egg Venture (A.L. Release)
eggventrd.zip	Egg Venture Deluxe
eightman.zip	Eight Man (NGM-025)(NGH-025)
ejanhs.zip	E-Jan High School (Japan)
ejollyx9.zip	Euro Jolly X9
elfin.zip	Elfin
emeralda.zip	Emeraldia (World)
emeraldaj.zip	Emeraldia (Japan Version B)
emeraldaja.zip	Emeraldia (Japan)
empcity.zip	Empire City: 1931 (bootleg?)
empcityi.zip	Empire City: 1931 (Italy)
empcityj.zip	Empire City: 1931 (Japan)
empcityu.zip	Empire City: 1931 (US)
enchlamp.zip	Enchanted Lamp (Konami Endeavour)
endrichs.zip	Endless Riches (Ver 1.20)
endurobl.zip	Enduro Racer (bootleg set 1)
enduror1.zip	Enduro Racer (YM2203, FD1089B 317-0013A)
enforce.zip	Enforce (World)
enforcej.zip	Enforce (Japan)
enforceja.zip	Enforce (Japan, Analog Controls)
enigma2b.zip	Phantoms II (Space Invaders hardware)
eprom2.zip	Escape from the Planet of the Robot Monsters (set 2)
equites.zip	Equites
equitess.zip	Equites (Sega)
ertictac.zip	Erotictac/Tactic
ertictaca.zip	Erotictac/Tactic (ver 01)
ertictacb.zip	Erotictac/Tactic (set 2)
escounts.zip	Every Second Counts (39-360-053)
esh.zip	Esh's Aurunmilla (set 1)
esha.zip	Esh's Aurunmilla (set 2)
eshb.zip	Esh's Aurunmilla (set 3)
espgal.zip	Espgaluda (2003/10/15 Master Ver)
espgal2.zip	Espgaluda II (2005/11/14 MASTER VER)
esprade.zip	ESP Ra.De. (International, Ver. 98/04/22)
espradej.zip	ESP Ra.De. (Japan, Ver. 98/04/21)
espradejo.zip	ESP Ra.De. (Japan, Ver. 98/04/14)
eswatbl.zip	E-Swat - Cyber Police (bootleg)
eswatj1.zip	E-Swat - Cyber Police (set 1, Japan, FD1094 317-0131)
eurogame.zip	The Euro Game (set 1)
eurogamea.zip	The Euro Game (set 2)
evilngt.zip	Evil Night (ver UBA)
excelsr.zip	Excelsior (set 1)
excelsra.zip	Excelsior (set 2)
excitbj.zip	Exciting Black Jack
excitebk.zip	Vs. Excitebike (set EB4-4 A)
excitebka.zip	Vs. Excitebike (set EB4-3 ?)
exctleag.zip	Excite League (FD1094 317-0079)
exctsccr.zip	Exciting Soccer
exctsccra.zip	Exciting Soccer (alternate music)
exctsccrb.zip	Exciting Soccer (bootleg)
exctsccrj.zip	Exciting Soccer (Japan)
exctsccru.zip	Exciting Soccer (US)
exerizer.zip	Exerizer (Japan)
exodus.zip	Exodus (bootleg?)
expcard.zip	Express Card / Top Card (Ver. 1.5)
exprraid.zip	Express Raider (World, Rev 4)
exprraidi.zip	Express Raider (Italy)
exprraidu.zip	Express Raider (US, rev 5)
exsafar.zip	Safari (Russia) (Extrema)
extrmth.zip	Treasure Hunt (Russia) (Extrema)
extrmti.zip	Treasure Island (Russia) (Extrema)
exvania.zip	Exvania (World)
exvaniaj.zip	Exvania (Japan)
exzisust.zip	Exzisus (TAD license)
eyesb.zip	Eyes (bootleg set 1)
eyeszac.zip	Eyes (Italy)
eyeszacb.zip	Eyes (bootleg set 2, decrypted)
eztouch.zip	EZ Touch (v116 China)
f15se21.zip	F-15 Strike Eagle (rev. 2.1 02/04/91)
f1dreamba.zip	F-1 Dream (bootleg, set 2)
f1en.zip	F1 Exhaust Note (World)
f1enj.zip	F1 Exhaust Note (Japan)
f1enu.zip	F1 Exhaust Note (US)
f1lap.zip	F1 Super Lap (World)
f1lapj.zip	F1 Super Lap (Japan)
f355.zip	Ferrari F355 Challenge (deluxe)
f355twin.zip	Ferrari F355 Challenge (twin)
f355twn2.zip	Ferrari F355 Challenge 2 (twin)
fa.zip	F/A (Japan)
fairyl2.zip	Fairy Land 2 (set 1)
fairyl2a.zip	Fairy Land 2 (set 2)
fairyl2b.zip	Fairy Land 2 (set 3)
fairyl2bl.zip	Fairy Land 2 (bootleg)
falcnwld.zip	Falcons Wild - Wild Card 1991 (TVG)
falcnwlda.zip	Falcons Wild - World Wide Poker (Video Klein, set 1)
falcnwldb.zip	Falcons Wild - World Wide Poker (Video Klein, set 2)
falcnwldc.zip	Falcons Wild - World Wide Poker (Falcon original)
famibox.zip	FamicomBox
fantasia.zip	Fantasia (940429 PCB, set 1)
fantasiaa.zip	Fantasia (940307 PCB)
fantasiab.zip	Fantasia (940429 PCB, set 2)
fantasian.zip	Fantasia (940803 PCB)
fantastc.zip	Fantastic (Galaga conversion on Galaxian hardware)
fantzn2x.zip	Fantasy Zone II - The Tears of Opa-Opa (System 16C version)
fantzn2xp.zip	Fantasy Zone II - The Tears of Opa-Opa (System 16C version, prototype)
fantzonepr.zip	Fantasy Zone (prototype)
fantzoneta.zip	Fantasy Zone (Time Attack, bootleg)
farmer.zip	Farmers Rebellion
fashiong2.zip	Fashion Gambler (set 2)
fastdraw.zip	Fast Draw Showdown v1.31
fateulc.zip	Fate: Unlimited Codes (FUD1 ver. A)
fateulcb.zip	Fate: Unlimited Codes (bootleg)
fatfursp.zip	Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058)
fatfurspa.zip	Fatal Fury Special / Garou Densetsu Special (set 2)(NGM-058)(NGH-058)
fatfury1.zip	Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033)
fatfury2.zip	Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047)
fatfury3.zip	Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069)
fax.zip	FAX
fax2.zip	FAX 2
fb2010.zip	Fruit Bonus 2010
fb3g.zip	Fruit Bonus 3G (Version 1.0.3)
fb6s1.zip	Fruit Bonus '06 - 10th anniversary (Version 1.7R CGA, Compact PCB)
fb6s2.zip	Fruit Bonus '06 - 10th anniversary (Version 1.7LT CGA, Compact PCB)
fb6s3.zip	Fruit Bonus '06 - 10th anniversary (Version 1.3R CGA, Compact PCB)
fbcrazy.zip	Football Crazy (Video Quiz)
fbdeluxe.zip	Fruit Bonus Deluxe (Version 1.0.9)
fbdeluxeo.zip	Fruit Bonus Deluxe (Version 1.0.7)
fbfrenzy.zip	Football Frenzy (NGM-034)(NGH-034)
fcockt2.zip	Fruit Cocktail 2 (080707 Russia)
fcockt2_3.zip	Fruit Cocktail 2 (080909 World)
fcockt2_4.zip	Fruit Cocktail 2 (081105 World)
fcockt2_4a.zip	Fruit Cocktail 2 (bootleg, 081105, banking address hack)
fcockt2_4b.zip	Fruit Cocktail 2 (bootleg, 081105, banking address hack, no credit limit)
fcockt2_4c.zip	Fruit Cocktail 2 (bootleg, 081105, VIDEO GAME-1 FR02)
fcockt2_4d.zip	Fruit Cocktail 2 (bootleg, 081105, banking address hack, payout percentage 70)
fcockt2_4e.zip	Fruit Cocktail 2 (bootleg, 081105, LOTTOGAME (I))
fcockt2_4f.zip	Fruit Cocktail 2 (bootleg, 081105, LOTOS FR02)
fcockt2_5.zip	Fruit Cocktail 2 (081106 Russia)
fcockt2_6.zip	Fruit Cocktail 2 (090528 Lottery)
fcockt2_7.zip	Fruit Cocktail 2 (090813 Entertainment)
fcockt2a.zip	Fruit Cocktail 2 (bootleg, 080707, banking address hack)
fcockt_10.zip	Fruit Cocktail (070517 Russia)
fcockt_11.zip	Fruit Cocktail (070822 Russia)
fcockt_12.zip	Fruit Cocktail (070911 Russia)
fcockt_14.zip	Fruit Cocktail (090708 Entertainment)
fcockt_3.zip	Fruit Cocktail (030623 World)
fcockt_5.zip	Fruit Cocktail (031111 World)
fcockt_6.zip	Fruit Cocktail (040216 World)
fcockt_6a.zip	Fruit Cocktail (bootleg, 040216, banking address hack)
fcockt_6b.zip	Fruit Cocktail (bootleg, 040216, backdoor)
fcockt_6c.zip	Fruit Cocktail (bootleg, 040216, LotoRossy+)
fcockt_6d.zip	Fruit Cocktail (bootleg, 040216, VIDEO GAME-1 FR01)
fcockt_7.zip	Fruit Cocktail (050118 World)
fcockt_7a.zip	Fruit Cocktail (bootleg, 050118, backdoor)
fcockt_7b.zip	Fruit Cocktail (bootleg, 050118, VIDEO GAME-1 FR01)
fcockt_7c.zip	Fruit Cocktail (bootleg, 050118, payout percentage 40)
fcockt_7d.zip	Fruit Cocktail (bootleg, 050118, payout percentage 60)
fcockt_7e.zip	Fruit Cocktail (bootleg, 050118, payout percentage 70)
fcockt_7f.zip	Fruit Cocktail (bootleg, 050118, changed version text)
fcockt_7g.zip	Fruit Cocktail (bootleg, 050118, LOTO PROGRAM V-FC2)
fcockt_7h.zip	Fruit Cocktail (bootleg, 050118, LOTOS FR01)
fcockt_8.zip	Fruit Cocktail (060111 World)
fcockt_8a.zip	Fruit Cocktail (bootleg, 060111, LOTO COCKTAIL V01-0001)
fcockt_8b.zip	Fruit Cocktail (bootleg, 060111, LOTTOGAME (I))
fcockt_9.zip	Fruit Cocktail (070305 Russia)
fearless.zip	Fearless Pinocchio (V101US)
fenix.zip	Fenix (bootleg of Phoenix)
ffantasybl.zip	Fighting Fantasy (bootleg with 68705)
ffight.zip	Final Fight (World, set 1)
ffighta.zip	Final Fight (World, set 2)
ffightbl.zip	Final Fight (bootleg)
ffightj.zip	Final Fight (Japan)
ffightj1.zip	Final Fight (Japan 900112)
ffightj2.zip	Final Fight (Japan 900305)
ffightj3.zip	Final Fight (Japan 900613)
ffightjh.zip	Street Smart / Final Fight (Japan, hack)
ffightu.zip	Final Fight (USA, set 1)
ffightu1.zip	Final Fight (USA, set 2)
ffightua.zip	Final Fight (USA 900112)
ffightub.zip	Final Fight (USA 900613)
ffortune.zip	Fantasy Fortune (1VXFC5460, New Zealand)
fghtatck.zip	Fighter _ Attacker (US)
fghthist.zip	Fighter's History (World ver 43-07, DE-0380-2 PCB)
fghthistj.zip	Fighter's History (Japan ver 41-07, DE-0395-1 PCB)
fghthistja.zip	Fighter's History (Japan ver 41-05, DE-0380-2 PCB)
fghthistjb.zip	Fighter's History (Japan ver 41-04, DE-0380-1 PCB)
fghthistu.zip	Fighter's History (US ver 42-05, DE-0395-1 PCB)
fghthistua.zip	Fighter's History (US ver 42-03, DE-0380-2 PCB)
fghtmn.zip	Fighting Mania (QG918 VER. EAA)
fghtmna.zip	Fighting Mania (QG918 VER. AAA)
fghtmnk.zip	Fighting Mania (QG918 VER. KAA)
fghtmnu.zip	Fighting Mania (QG918 VER. UAA)
fhawk.zip	Fighting Hawk (World)
fhawkj.zip	Fighting Hawk (Japan)
fhunter.zip	Fortune Hunter (2XF5196I01, USA)
fhuntera.zip	Fortune Hunter (2XF5196I02, USA)
fightfev.zip	Fight Fever (set 1)
fightfeva.zip	Fight Fever (set 2)
filetto.zip	Filetto (v1.05 901009)
finalap3.zip	Final Lap 3 (World, set 1)
finalap3a.zip	Final Lap 3 (World, set 2)
finalap3bl.zip	Final Lap 3 (bootleg)
finalap3jc.zip	Final Lap 3 (Japan - Rev C)
finalapr.zip	Final Lap R (Rev. B)
finalaprj.zip	Final Lap R (Japan Rev. C)
finalapro.zip	Final Lap R
finallapjb.zip	Final Lap (Japan, Rev B)
finallapjc.zip	Final Lap (Japan, Rev C)
firebarr.zip	Fire Barrel (Japan)
firefox.zip	Fire Fox (set 1)
firefoxa.zip	Fire Fox (set 2)
firehawk.zip	Fire Hawk (horizontal)
firehawkv.zip	Fire Hawk (switchable orientation)
fireshrk.zip	Fire Shark
fireshrka.zip	Fire Shark (earlier)
fireshrkdh.zip	Fire Shark (Korea, set 2, harder)
firetrapa.zip	Fire Trap (US, set 2)
firetrapbl.zip	Fire Trap (Japan bootleg)
firetrapj.zip	Fire Trap (Japan)
firstcl.zip	First Class Traveller (set 1)
fishfren.zip	Fishin' Frenzy (prototype)
fitterbl.zip	Fitter (bootleg of Round-Up)
fixeight.zip	FixEight (Europe)
fixeighta.zip	FixEight (Southeast Asia)
fixeightat.zip	FixEight (Southeast Asia, Taito license)
fixeighth.zip	FixEight (Hong Kong)
fixeightht.zip	FixEight (Hong Kong, Taito license)
fixeightj.zip	FixEight (Japan)
fixeightjt.zip	FixEight (Japan, Taito license)
fixeightk.zip	FixEight (Korea)
fixeightkt.zip	FixEight (Korea, Taito license)
fixeightt.zip	FixEight (Europe, Taito license)
fixeighttw.zip	FixEight (Taiwan)
