platform,path,display_name,emulator_command,extension
supervision,archive:mame-sl/mame-sl/svision.zip,MAME,mame svision -cart,
sv8000,archive:mame-sl/mame-sl/sv8000.zip,MAME,mame sv8000 -cart,
svmu,archive:tosec-main/Sega/Visual Memory System/Games,TOSEC,mame svmu -quik,
svmu,archive:mame-sl/mame-sl/svmu.zip,MAME,mame svmu -quik,
pockstat,archive:tosec-main/Sony/PocketStation/Various,TOSEC,mame pockstat -cart,
rx78,archive:ni-roms/roms/Bandai - Gundam RX-78.zip,NoIntro,mame rx78 -cart,
rx78,archive:tosec-main/Bandai/Gundam RX-78/Games/[BIN],TOSEC,mame rx78 -cart,
rx78,archive:mame-sl/mame-sl/rx78_cart.zip,Cart MAME,mame rx78 -cart,
rx78,archive:mame-sl/mame-sl/rx78_cass.zip,Cass MAME,mame rx78 basic -cass,
wswan,archive:ni-roms/roms/Bandai - WonderSwan.zip,NoIntro,mednafen_wswan_libretro,
wswan,archive:tosec-main/Bandai/WonderSwan/Games,TOSEC,mednafen_wswan_libretro,
wswan,archive:mame-sl/mame-sl/wswan.zip,MAME,mame wswan -cart,
wswan,archive:ni-roms/roms/Benesse - Pocket Challenge V2.zip,Pocket Challenge 2 NoIntro,mednafen_wswan_libretro,
wswanc,archive:ni-roms/roms/Bandai - WonderSwan Color.zip,NoIntro,mednafen_wswan_libretro,
wswanc,archive:tosec-main/Bandai/WonderSwan Color/Games,TOSEC,mednafen_wswan_libretro,
wswanc,archive:mame-sl/mame-sl/wscolor.zip,MAME,mame wscolor -cart,
megaduck,archive:ni-roms/roms/Welback - Mega Duck.zip,NoIntro,mame megaduck -cart,
megaduck,archive:mame-sl/mame-sl/megaduck.zip,MAME,mame megaduck -cart,
microvision,archive:mame-sl/mame-sl/microvision.zip,MAME,mame microvsn -cart,
gamate,archive:ni-roms/roms/Bit Corporation - Gamate.zip,NoIntro,mame gamate -cart,
gamate,archive:tosec-main/Bit Corporation/Gamate/Games,TOSEC,mame gamate -cart,
gamate,archive:mame-sl/mame-sl/gamate.zip,MAME,mame gamate -cart,
gmaster,archive:ni-roms/roms/Hartung - Game Master.zip,NoIntro,mame gmaster -cart,
gmaster,archive:tosec-main/Hartung/Game Master/Games,TOSEC,mame gmaster -cart,
gmaster,archive:mame-sl/mame-sl/gmaster.zip,MAME,mame gmaster -cart,
gamecom,archive:ni-roms/roms/Tiger - Game.com.zip,NoIntro,mame gamecom -cart1,
gamecom,archive:tosec-main/Tiger Electronics/Game.com/Games,TOSEC,mame gamecom -cart1,
gamecom,archive:mame-sl/mame-sl/gamecom.zip,MAME,mame gamecom -cart1,
